"hauljoin","year","start_longitude","end_longitude","start_latitude","end_latitude","vessel","cruise","haul","btemp","area","sponge","coral","pen","lon","lat","bdepth","slope","speed","tmax","BPI","a_bering_sk","a_mud_sk","a_ak_sk","a_aleut_sk","ej_atf","j_atf","a_atf","a_kam","ej_fhs","j_fhs","a_fhs","ej_dover","j_dover","a_dover","ej_rex","j_rex","a_rex","ej_yfs","j_yfs","a_yfs","ej_nrs","j_nrs","a_nrs","a_srs","ej_plaice","j_plaice","a_plaice","ej_sable","j_sable","a_sable","a_yil","a_great","a_bigmouth","ej_pcod","j_pcod","a_pcod","ej_poll","j_poll","a_poll","a_atka","a_ssth","a_rebs_sp","a_rougheye","a_blackspot","ej_pop","j_pop","a_pop","a_silvergray","a_darkrf","a_duskyrf","a_darkblotched","a_splitnose","a_greenstripe","a_widow","a_yellowtail","a_rosethorn","a_quillback","a_blackrf","a_canaryrf","a_northernrf","a_redstripe","a_yelloweye","a_redband","a_harlequin","a_sharpchin","a_shortraker","Zone","Folds"
26599,1993,-134.74817,-134.69783,55.564,55.5745,21,199309,35,4.6,0.05493569,0,0,0,1198165.68782595,792561.558259973,286.454961140951,0.825986305872599,0.00786993701777573,14.6161849587275,11.9664062658946,0,0,0,0,0,0,0,0,0,0,0,0,151,70,0,14,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","G"
26600,1993,-134.69967,-134.68933,55.64517,55.61983,21,199309,36,4.9,0.04437504,0,0,0,1197999.02115928,799728.22492664,215.440132141113,0.375247597694397,0.00667879125110998,17.3200446031668,-7.07257739702861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,131,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","L"
26601,1993,-134.56633,-134.5395,55.62833,55.60867,21,199309,37,4.9,0.04384051,0,0,0,1206799.02115928,801028.22492664,231.154730224609,0.728062754869461,0.00628247093234239,15.8019949405057,2.3786612033844,0,0,0,0,0,83,65,0,0,0,0,0,26,48,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,56,31,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","S"
26602,1993,-134.45033,-134.42267,55.638,55.61533,21,199309,38,4.6,0.04660184,0,0,1,1213499.02115928,804228.22492664,222.067916870117,0.254882874588172,0.00610674437455217,15.5374211552599,3.96976602822542,0,0,0,0,1,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","G"
26603,1993,-134.24217,-134.22017,55.66167,55.6375,21,199309,39,5.1,0.04555671,0,0,0,1225199.02115928,810428.22492664,202.001638793945,0.307160827517509,0.00458563440195011,19.2349545101665,9.41793918609619,0,0,0,0,0,100,202,0,0,0,0,0,25,62,0,5,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","T"
26604,1993,-134.39433,-134.41283,55.695,55.7195,21,199309,40,5.7,0.04254868,1,0,0,1212999.02115928,813228.22492664,183.726934814453,0.531575047969818,0.00567265393924754,15.789057817223,5.41445398330688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","L"
26605,1993,-134.81267,-134.8415,55.737,55.7565,21,199309,41,5.3,0.0429351,0,0,0,1185999.02115928,809728.22492664,211.45983505249,0.750898517668247,0.008525399094996,24.9122832949453,9.73220634460449,0,0,0,0,0,54,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","N"
26606,1993,-134.99017,-134.97367,55.74467,55.74733,21,199309,42,5.2,0.01629258,1,0,0,1176999.02115928,806728.22492664,199.234321594238,0.270337648689747,0.01387919496592,27.9338184830515,1.44487945735455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,"T","H"
26607,1993,-136.01033,-136.01017,56.92533,56.93417,21,199309,43,5.6,0.01510316,1,0,0,1079999.02115928,916728.22492664,187.400764465332,0.63730052113533,0.023035298725873,5.72192186555061,-51.0321407318115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","K"
26608,1993,-135.80283,-135.83433,56.8695,56.8695,21,199309,44,5.8,0.02746476,0,0,0,1092999.02115928,913228.22492664,146.426300048828,0.535218516985575,0.0144359769053793,6.66217860913278,-6.4770876566569,0,0,0,0,0,64,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","H"
26610,1993,-135.11817,-135.13417,55.92417,55.93933,21,199309,46,5.3,0.02677836,1,0,1,1162499.02115928,824228.22492664,194.567768096924,0.247117128223181,0.015891102787019,29.301483096114,-23.2879793643951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,253,0,"T","B"
26611,1993,-135.101,-135.06317,55.863,55.86433,21,199309,47,5.3,0.0346166,1,0,0,1166999.02115928,817728.22492664,188.52424621582,0.60970588773489,0.0169356471795112,32.2690534166521,-10.1563225984573,0,0,0,0,1,19,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,54,20,71,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,38,0,"T","I"
26612,1993,-134.701,-134.68083,55.8295,55.8015,21,199309,48,5.3,0.03793712,0,0,0,1191999.02115928,819728.22492664,183.993598937988,0.364907242357731,0.00432065295939659,31.4678542565501,8.22545369466146,0,0,0,0,17,214,47,0,0,0,0,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","R"
26613,1993,-134.55317,-134.54317,56.02683,56.03267,21,199309,49,4.2,0.0146027,1,0,0,1193999.02115928,844728.22492664,471.521148681641,0.758677765727043,0.00404600709714267,32.7325748843492,70.9645233154297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"J","Q"
26614,1993,-134.9435,-134.94683,55.9745,55.99,21,199309,50,4.2,0.018947348,0,0,0,1171665.68782595,832894.891593307,363.640218098958,0.857932647069295,0.00646317468260924,29.2173895173193,31.7356383005778,0,0,0,0,0,0,10,0,0,0,0,0,7,82,0,0,82,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,180,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","D"
26615,1993,-134.96867,-134.972,56.08617,56.10033,21,199309,51,3.9,0.024909741,1,0,0,1166749.02115928,844478.22492664,323.222396850586,0.753966704010963,0.00845277591606697,32.163336406234,0.077062726020813,0,0,0,0,0,0,30,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,157,62,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"T","E"
26616,1993,-134.93583,-134.931,56.16117,56.17667,21,199309,52,4.9,0.02481949,1,0,0,1166499.02115928,853228.22492664,182.980518341064,0.397055339068174,0.00761103312805808,34.628896340603,-21.1838412284851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","H"
26617,1993,-135.25983,-135.28333,56.09617,56.12117,21,199309,53,4,0.03647358,0,1,0,1147999.02115928,840728.22492664,334.608810424805,0.355615958571434,0.00998782878630431,17.0506652375361,5.1155199110508,0,0,0,0,0,0,39,0,0,0,0,0,358,130,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"T","C"
26618,1993,-135.14867,-135.15367,56.02867,56.05533,21,199309,54,3.9,0.04693668,0,0,0,1157599.02115928,835828.22492664,389.672662353516,0.302253764867783,0.00853216521375379,21.1374974026444,8.63363342285156,0,0,0,0,0,0,33,0,0,0,0,0,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"T","O"
26619,1993,-135.41217,-135.42233,55.9335,55.94267,21,199309,55,4.2,0.0179998,1,0,0,1144665.68782595,819894.891593307,360.86528523763,4.36891476313273,0.0242310767098231,19.0022285218749,-86.0578231811523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,21,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","H"
26620,1993,-135.3915,-135.408,56.04583,56.06883,21,199309,56,4.44267892837524,0.04356461,1,0,0,1141999.02115928,833228.22492664,471.91064453125,7.7071382522583,0.0235380404167026,17.2508454664085,94.5051391601562,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"T","R"
26621,1993,-135.39783,-135.41883,56.194,56.216,21,199309,57,4.9,0.0413922,1,0,0,1137199.02115928,848428.22492664,220.248251342773,0.550165319442749,0.0144631158267903,16.5419301763043,-10.1430515289307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,609,0,"T","Q"
26623,1993,-135.49683,-135.514,56.25617,56.28133,21,199309,59,5.1,0.04518,1,0,0,1129399.02115928,853628.22492664,214.102221679687,0.448219239711761,0.0194794827999616,13.0492595885344,-85.3487930297852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,"T","T"
26624,1993,-135.482,-135.49233,56.30233,56.32683,21,199309,60,5.2,0.041465525,0,0,0,1128999.02115928,859228.22492664,196.765505981445,0.233559492230415,0.0202786248424549,13.6121617206615,-16.7308729171753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,183,0,"T","D"
26625,1993,-135.6355,-135.65483,56.46,56.48167,21,199309,61,5.2,0.04043073,0,0,0,1114799.02115928,873028.22492664,212.278082275391,0.751394951343536,0.022452608394136,9.9518352377442,-83.1398040771484,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,1,6,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,"T","S"
